LOCPOST;timestamp;total_rows;reconstructed_rows;volume_TOTAL;volume_PW;volume_VR;volume_PAE;vol_rec_total;vol_rec_kl_gaten;vol_rec_geslvak;vol_rec_typed;avg_availability;pct_rows_reconstructed;pct_vol_reconstructed;pct_vol_reco_kl_gaten;pct_vol_reco_geslvak;pct_vol_reco_typed
101802;2026-03-25;1;1;32262;23941;8321;40583.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
101901;2026-03-25;1;1;24719;14809;9910;34629.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
101902;2026-03-25;1;1;25454;15229;10225;35679.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
101905;2026-03-25;1;1;4191;1339;2852;7043.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
101906;2026-03-25;1;0;1300;676;624;1924.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
101907;2026-03-25;1;0;3209;1930;1279;4488.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
101908;2026-03-25;1;1;4355;1016;3339;7694.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
102103;2026-03-25;1;1;23648;14277;9371;33019.0;945.9200000000001;0.0;0.0;945.9200000000001;100.0;100.0;4.0;0.0;0.0;4.0
102104;2026-03-25;1;1;23078;13455;9623;32701.0;923.12;0.0;923.12;0.0;100.0;100.0;4.0;0.0;4.0;0.0
107006;2026-03-25;1;1;13691;8144;5547;19238.0;136.91;136.91;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
107081;2026-03-25;1;0;12675;7675;5000;17675.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
107082;2026-03-25;1;0;10095;6662;3433;13528.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
107083;2026-03-25;1;1;9172;5882;3290;12462.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
107091;2026-03-25;1;1;9620;6523;3097;12717.0;96.2;96.2;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
107092;2026-03-25;1;1;16105;13027;3078;19183.0;161.05;161.05;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
107093;2026-03-25;1;1;16608;13326;3282;19890.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
107095;2026-03-25;1;1;9661;6527;3134;12795.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
107097;2026-03-25;1;1;9424;7028;2396;11820.0;1130.8799999999999;1130.8799999999999;0.0;0.0;100.0;100.0;12.0;12.0;0.0;0.0
111705;2026-03-25;1;1;7606;6489;1117;8723.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
111708;2026-03-25;1;1;7714;6451;1263;8977.0;77.14;77.14;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
111791;2026-03-25;1;1;18412;12693;5719;24131.0;184.12;184.12;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
111792;2026-03-25;1;1;18335;13065;5270;23605.0;183.35;183.35;0.0;0.0;100.0;100.0;1.0;1.0;0.0;0.0
112806;2026-03-25;1;0;3706;2140;1566;5272.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0
112807;2026-03-25;1;1;1825;1126;699;2524.0;1825.0;0.0;0.0;1825.0;100.0;100.0;100.0;0.0;0.0;100.0
112808;2026-03-25;1;1;7958;6389;1569;9527.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
