source_id,road_section_id,timestamp,vehicle_type,volume,volume_err,screening,validation,resolved_volume,resolved_volume_err,relative_diff,relative_diff_err
101802,2538001897,2026-03-25,TOTAL,32262.0,161.31,accepted,verified,32225.586,38.787106,0.0011299737,0.0051483214
101901,3068002224,2026-03-25,TOTAL,24719.0,123.595,accepted,verified,24735.316,34.663494,-0.00065964006,0.005189498
101902,2229003069,2026-03-25,TOTAL,25454.0,127.27,accepted,verified,25429.758,46.70951,0.0009533,0.0053311856
101905,2149003067,2026-03-25,TOTAL,4191.0,20.955,accepted,verified,4188.372,15.672978,0.00062743464,0.006247728
101906,2150004551,2026-03-25,TOTAL,1300.0,6.5,accepted,verified,1300.1093,3.6893966,-8.403365e-05,0.0057487977
101907,3065003487,2026-03-25,TOTAL,3209.0,16.045,accepted,verified,3211.0942,15.600337,-0.0006521884,0.006969226
101908,3070003488,2026-03-25,TOTAL,4355.0,21.775,accepted,verified,4353.5464,8.8853445,0.00033389177,0.0054020504
102103,4172001510,2026-03-25,TOTAL,23648.0,118.24,disputed,verified,23587.838,31.306202,0.0025505563,0.0051854793
102104,1513004412,2026-03-25,TOTAL,23078.0,115.39,disputed,rejected,23661.893,29.654282,-0.024676494,0.00503508
107006,3562000358,2026-03-25,TOTAL,13691.0,68.455,accepted,dismissed,14028.686,206.49265,-0.024071075,0.015507068
107081,3560003556,2026-03-25,TOTAL,12675.0,63.375,accepted,dismissed,12601.001,167.82477,0.0058724717,0.014236341
107082,3559003557,2026-03-25,TOTAL,10095.0,50.475,accepted,dismissed,10028.395,191.44614,0.0066416883,0.019742768
107083,3553000357,2026-03-25,TOTAL,9172.0,45.86,accepted,dismissed,9351.326,143.44644,-0.01917655,0.016104547
107091,3554003555,2026-03-25,TOTAL,9620.0,48.1,accepted,rejected,16592.428,157.24188,-0.42021745,0.009910197
107092,3561003558,2026-03-25,TOTAL,16105.0,80.525,accepted,dismissed,16203.498,225.53159,-0.0060788137,0.014779281
107093,3554003555,2026-03-25,TOTAL,16608.0,83.04,accepted,verified,16592.428,157.24188,0.0009385164,0.010717056
107095,3554003555,2026-03-25,TOTAL,9661.0,48.305,accepted,rejected,16592.428,157.24188,-0.41774645,0.009913819
107097,3554003555,2026-03-25,TOTAL,9424.0,47.12,held,rejected,16592.428,157.24188,-0.43203008,0.009893082
111705,1166001506,2026-03-25,TOTAL,7606.0,38.03,accepted,verified,7595.224,41.95106,0.0014187704,0.007455089
111708,1497001168,2026-03-25,TOTAL,7714.0,38.57,accepted,verified,7725.8877,43.04372,-0.0015386834,0.007480856
111791,1495001505,2026-03-25,TOTAL,18412.0,92.06,accepted,verified,18342.766,63.906006,0.0037744786,0.006109604
111792,1498001504,2026-03-25,TOTAL,18335.0,91.675,accepted,verified,18402.145,59.110416,-0.003648734,0.005927545
112806,2382003064,2026-03-25,TOTAL,3706.0,18.53,accepted,verified,3707.8972,15.279563,-0.0005116692,0.006477311
112807,4540001980,2026-03-25,TOTAL,1825.0,9.125,held,unresolved,,,,
112808,236001981,2026-03-25,TOTAL,7958.0,39.79,accepted,verified,7951.5635,24.593836,0.0008094664,0.00588276
112891,4541002364,2026-03-25,TOTAL,20785.0,103.925,held,dismissed,21039.0,153.0286,-0.012072817,0.008792315
112892,235003063,2026-03-25,TOTAL,20659.0,103.295,accepted,verified,20694.324,43.902096,-0.001706952,0.0054235873
112905,4550004157,2026-03-25,TOTAL,12872.0,64.36,accepted,verified,12884.537,55.832054,-0.0009730353,0.0066127544
112906,4548004545,2026-03-25,TOTAL,9064.0,45.32,held,rejected,9483.736,59.070366,-0.04425854,0.00785057
112908,4547004543,2026-03-25,TOTAL,13320.0,66.6,accepted,verified,13316.504,10.063128,0.0002625384,0.005058082
112951,5621005445,2026-03-25,TOTAL,5614.0,28.07,accepted,verified,5615.3965,10.176873,-0.00024868848,0.005317147
112952,5622003123,2026-03-25,TOTAL,2982.0,14.91,accepted,verified,2982.0,0.0,0.0,0.005
112991,2364005446,2026-03-25,TOTAL,13512.0,67.56,accepted,verified,13520.86,23.421576,-0.00065530976,0.0052884733
127401,2225002229,2026-03-25,TOTAL,18193.0,90.965,accepted,verified,18208.271,5.111976,-0.0008387114,0.0050036884
127402,1002002230,2026-03-25,TOTAL,7211.0,36.055,accepted,verified,7213.3994,4.8942084,-0.00033263292,0.0050441762
127403,2226001619,2026-03-25,TOTAL,3515.0,17.575,held,rejected,4093.9714,51.533707,-0.14142048,0.013299597
127404,2224002228,2026-03-25,TOTAL,17641.0,88.205,accepted,rejected,17779.275,25.18501,-0.0077773356,0.0051593822
127405,2223000999,2026-03-25,TOTAL,6923.0,34.615,accepted,verified,6908.3745,24.50816,0.0021170664,0.0061393357
127406,1138002227,2026-03-25,TOTAL,4207.0,21.035,accepted,verified,4212.1997,13.61403,-0.0012344398,0.005948483
